Time	Agent	D1	SSCMax_D1	D2	SSCMax_D2	D3	SSCMax_D3	D4	SSCMax_D4
99.470000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.475000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.480000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.485000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.490000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.495000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.500000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.505000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.510000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.515000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.520000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.525000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.530000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.535000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.540000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.545000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.550000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.555000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.560000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.565000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.570000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.575000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.580000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.585000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.590000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.595000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.600000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.605000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.610000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.615000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.620000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.625000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.630000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.635000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.640000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.645000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.650000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.655000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.660000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.665000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.670000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.675000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.680000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.685000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.690000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.695000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.700000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.705000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.710000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.715000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.720000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.725000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.730000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.735000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.740000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.745000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.750000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.755000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.760000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.765000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.770000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.775000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.780000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
